id,title,shorttitle,icon16x16,href,_blank,appid,itemtype,req_context_item_id,act_type
XB21,Agregar tipo de autorización,Agregar,,/!/dbext/authtpy/_new/,0,dbext.authtpy,DET052,0,action
XB22,Editar tipo de autorización,Editar,,/!/dbext/authtpy/@_src_context_item_id/,0,dbext.authtpy,DET052,1,action
XB23,Eliminar tipo de autorización,Eliminar,,javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);,0,dbext.authtpy,DET052,1,action
XB31,Agregar folio,Agregar,,/!/dbext/blockdocs/_new/,0,dbext.blockdocs,DET04F,0,action
XB32,Editar folio,Editar,,/!/dbext/blockdocs/@_src_context_item_id/,0,dbext.blockdocs,DET04F,1,action
XB33,Eliminar folio,Eliminar,,javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);,0,dbext.blockdocs,DET04F,1,action
XB61,Agregar Usuario,Agregar,,/!/dbext/tuser/_new/,0,dbext.tuser,DET061,0,action
XB62,Editar Usuario,Editar,,/!/dbext/tuser/@_src_context_item_id/,0,dbext.tuser,DET061,1,action
XB63,Eliminar Usuario,Eliminar,,javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);,0,dbext.tuser,DET061,1,action
XB71,Agregar grupo de usuarios,Agregar,,/!/dbext/usergroup/_new/,0,dbext.usergroup,DET027,0,action
XB72,Editar grupo de usuarios,Editar,,/!/dbext/usergroup/@_src_context_item_id/,0,dbext.usergroup,DET027,1,action
XB73,Eliminar grupo de usuarios,Eliminar,,javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);,0,dbext.usergroup,DET027,1,action
XB82,Editar canal de comunicación,Editar,,/!/dbext/smpt/@_src_context_item_id/?exit_url_encode=LyEvZGJleHQvY29tbS8|,0,dbext.comm,DET00C,1,action
XB83,Eliminar canal de comunicación,Eliminar,,javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);,0,dbext.comm,DET00C,1,action
XB91,Agregar relación de usuario con elemento de datos,Agregar,,/!/dbext/detusr/_new/,0,dbext.detusr,DET08A,0,action
XB92,Agregar privilegio de usuario sobre elemento de datos,Privilegios,,/!/dbext/detusr/@_src_context_item_id/,0,dbext.detusr,DET08A,1,action
XB93,Eliminar relación y privilegios de usuario por DET,Eliminar,,javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);,0,dbext.detusr,DET08A,1,action

"XB101","Agregar divisa","Agregar","","/!/dbext/divisa/_new/","0","dbext.divisa","DET030","0","action"
"XB102","Editar divisa","Editar","","/!/dbext/divisa/@_src_context_item_id/","0","dbext.divisa","DET030","1","action"
"XB103","Eliminar divisa","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","dbext.divisa","DET030","1","action"

"XB111","Agregar país","Agregar","","/!/dbext/pais/_new/","0","dbext.pais","DET034","0","action"
"XB112","Editar país","Editar","","/!/dbext/pais/@_src_context_item_id/","0","dbext.pais","DET034","1","action"
"XB113","Eliminar país","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","dbext.pais","DET034","1","action"
