"id","title"
"DET00C","Canal de comunicación"
"DET013","Ciudad"
"DET027","Grupo de usuarios"
"DET030","Moneda o divisa"
"DET034","País"
"DET036","Perfil de seguridad de grupo de usuarios"
"DET03D","Privilegio de seguridad"
"DET040","Proveedor de canal de comunicación"
"DET04B","Solicitud de autorización"
"DET04F","Block de documentos"
"DET052","Tipo de autorización"
"DET061","Usuario"
"DET063","Variable global de configuración"
"DET08A","Privilegio de usuario sobre entidad"
"DET08B","Estado"
"DET08C","Consultas SQL"
