"id","title","icon96x96","src","_blank","appid","cat"
"XB10","Bandeja de autorizaciones","/$/dbext/img/icons/authbox-96x96.png","/!/dbext/authbox/","0","dbext.authbox","0080"
"XB20","Tipos de autorizaciones","/$/dbext/img/icons/authtpy-96x96.png","/!/dbext/authtpy/","0","dbext.authtpy","00A0"
"XB30","Control de folios","/$/dbext/img/icons/blockdocs-96x96.png","/!/dbext/blockdocs/","0","dbext.blockdocs","00A0"
"XB40","Variables globales","/$/dbext/img/icons/globalvar-96x96.png","/!/dbext/globalvar/","0","dbext.globalvar","00A0"
"XB50","Perfiles","/$/dbext/img/icons/profile-96x96.png","/!/dbext/profile/","0","dbext.profile","00A0"
"XB60","Usuarios","/$/dbext/img/icons/tuser-96x96.png","/!/dbext/tuser/","0","dbext.tuser","00A0"
"XB70","Grupos de usuarios","/$/dbext/img/icons/usergroup-96x96.png","/!/dbext/usergroup/","0","dbext.usergroup","00A0"
"XB80","Canales de comunicación","/$/dbext/img/icons/comm-96x96.png","/!/dbext/comm/","0","dbext.comm","00A0"
"XB90","Privilegios sobre entidades","/$/dbext/img/icons/detusr-96x96.png","/!/dbext/detusr/","0","dbext.detusr","00A0"
"XB100","Divisas","/$/dbext/img/icons/divisa-96x96.png","/!/dbext/divisa/","0","dbext.divisa","0090"
"XB110","Países","/$/dbext/img/icons/pais-96x96.png","/!/dbext/pais/","0","dbext.pais","0090"
"XB120","Galería de consultas","/$/dbext/img/icons/query-96x96.png","/!/dbext/query/","0","dbext.query","0080"
